pl_name,hostname,tic_id,period
AU Mic b,AU Mic,441420236,8.46308
AU Mic c,AU Mic,441420236,18.85969
GJ 1252 b,GJ 1252,370133522,0.5182331
GJ 143 b,GJ 143,279741379,35.61253
GJ 238 b,GJ 238,260708537,1.7446999
GJ 3090 b,GJ 3090,262530407,2.8531054
GJ 3473 b,GJ 3473,452866790,1.1980035
GJ 357 b,GJ 357,413248763,3.9306
GJ 367 b,GJ 367,34068865,0.3219225
GJ 3929 b,GJ 3929,188589164,2.616235
GJ 806 b,GJ 806,239332587,0.9263237
Gliese 12 b,Gliese 12,52005579,12.761408
HD 101581 b,HIP 56998,397362481,4.46569
HD 101581 c,HIP 56998,397362481,6.20401
HD 108236 b,HD 108236,260647166,3.795963
HD 108236 c,HD 108236,260647166,6.203449
HD 108236 d,HD 108236,260647166,14.175685
HD 108236 e,HD 108236,260647166,19.590025
HD 109833 b,HD 109833,360630575,9.188526
HD 109833 c,HD 109833,360630575,13.900148
HD 110082 b,HD 110082,383390264,10.18271
HD 110113 b,HD 110113,73228647,2.541
HD 135694 b,HD 135694,232540264,15.92347557
HD 1397 b,HD 1397,394137592,11.53533
HD 152843 b,HD 152843,349488688,11.6264
HD 152843 c,HD 152843,349488688,24.38
HD 15337 b,HD 15337,120896927,4.75615
HD 15337 c,HD 15337,120896927,17.1784
