TIC_ID,period_days,power,depth,duration_days,t0
290548579,3.092629655431963,0.5620259105763592,0.13252663772053988,0.01,1655.2149736328124
325610193,7.9548236525536336,0.0009360618473099297,0.0024149867582306675,0.158,1660.749072265625
327831847,4.584141738426881,0.04657214867481306,0.026665055233541762,0.031,1629.1572578125
369768134,0.5212982864223297,0.0006483904517489272,0.0006305090503947032,0.116,1628.123673828125
369894394,0.5249966040160917,0.0023894816314132933,0.0012066951234301023,0.116,1628.541673828125
369960846,1.6065579578627265,0.09369857673634528,0.014770150241353088,0.073,1654.1033515625
383381662,0.9115688552566373,0.0005190327036124588,0.0025235886017391414,0.01,1628.2807958984374
394820224,1.5632552186022666,0.0021092968716152076,0.006495070240752147,0.01,1629.429310546875
410305216,12.272071910210501,0.0005418111002420193,0.00402162475609874,0.094,1640.547974609375
419637885,12.405235772690094,0.001156338322131631,0.004857853565927288,0.137,1640.399173828125
419666736,0.6109934484238595,0.022603482902460035,0.005803986874556993,0.052000000000000005,1628.4250166015624
451604550,0.9785542083441418,0.001143678420808903,0.00076087523062759,0.2,1654.3269736328125
461738957,0.7220114960911873,0.08146966951336264,0.009085302688273561,0.094,1628.811744140625
468148930,3.717496642217542,0.012667877144735185,0.004701913231460898,0.2,1655.2929736328124
468155076,1.0343217243001515,0.03610922486368967,0.008728103991731798,0.052000000000000005,1654.4639736328124
468184895,0.5718585150680306,0.034721608584145996,0.009253467185587106,0.031,1628.513173828125
471016495,2.267897446362125,0.001873600601601909,0.0076517984029938774,0.01,1630.1975029296875
